Cadena,Region,Estaciones_Est,Tipo
Oxxo Gas,Nacional,+560,Retail Gas Chain
Grupo Orsan,Norte / Centro / Bajío,+200,Retail Gas Chain
G500 Network,Nacional,+300,Retail Gas Chain
Combuexpress,Occidente / Jalisco,+80,Retail Gas Chain
Gasomax,Bajío / San Luis Potosí,+50,Retail Gas Chain
Grupo Burgos,Norte / Tamaulipas,+100,Retail Gas Chain
CargoGas,Noroeste / Coahuila,+60,Retail Gas Chain
Gasolinera El Trebol (Grupo Calsa),Centro,+35,Retail Gas Chain
Grupo Octano,Occidente,+40,Retail Gas Chain
Ruta / Petrum / Gilga,Norte / Bajío,+75,Retail Gas Chain
Corporativo AP,Centro / Hidalgo,+30,Retail Gas Chain
Top Energy / Gomasa / Gonergy,Sureste / Golfo,+65,Retail Gas Chain
Servicio Glorieta,Centro,+25,Retail Gas Chain
Gasolineras Hidrosina,Centro / CDMX,+200,Retail Gas Chain
Gasolineras BP México,Nacional,+500,Multinacional Retail
Chevron México,Noroeste,+150,Multinacional Retail
