Empresa,Categoria,Contacto_Email,Telefono,Sitio_Web,Relevancia_PayMind
ATIO GROUP (ControlGAS),ISV / Control Volumétrico & POS,marketing@atio.com.mx,55.5001.5100 / 800.087.2646,www.atiogroup.com.mx,"Integración directa con ControlGAS (líder en +5,000 estaciones)"
EGAS,ISV / Control Volumétrico & POS,ventas@egas.com.mx,55.5566.5951,www.egas.com.mx,Integración con software POS e-Gas para gasolineras
ALVIC,ISV / Control Volumétrico & POS,contactomx@alvic.com.mx,55.4624.1000,www.alvic.net,Integración de quioscos con terminales y software Alvic
iGAS,ISV / Control Volumétrico & POS,ventas@igas.com.mx,668.816.2160,www.igas.mx,Sistema agilizador de ventas en isla y Anexo 21
AIE MÉXICO (SIGMA),ISV / Control Volumétrico & POS,ventas@aiemexico.com.mx,777.608.6633,www.aiemexico.com.mx,Software SIGMA-AIE de automatización de estaciones
AVALON SOFTWARE LATAM,ISV / Control Volumétrico & POS,xmunguia@avaloninformatica.com,56.1164.7838,www.avalonsoftware.com,Automatización de POS y medios de pago para grupos
GAS MANAGER,ISV / Control Volumétrico & POS,info@gasmanager.com,811.224.0330,www.gasmanager.com,Control volumétrico y cortes automáticos en despacho
GRUPO CADISA,ISV / Control Volumétrico & POS,marcos.robles@cadisaenlinea.com.mx,662.112.0745,www.cadisaenlinea.com.mx,Terminales de punto de venta y control de despacho
KERNOTEK,ISV / Control Volumétrico & POS,ventas@kernotek.mx,464.649.3407,www.kernotek.mx,Hardware y software de control volumétrico Anexo 21
NEXUS FUEL,ISV / Control Volumétrico & POS,info@nexusfuel.com,664.375.2177,www.nexusfuel.com,Automatización de procesos operativos en gasolineras
POLARIS CONTROL VOLUMÉTRICO,ISV / Control Volumétrico & POS,info@ecsmexico.com,81.8100.9605,www.ecsmexico.com,Liquidación y facturación en isla
LUQROSS (Suite Olimpo),ISV / Control Volumétrico & POS,david_rosas@luqross.com,55.1992.5117,www.luqrosstecnologia.com,Control volumétrico Suite Olimpo Anexo 30 SAT
FUEL SOFT / ENERCON,ISV / Control Volumétrico & POS,gtapia@enercon.mx,444.651.2376,www.enercon.mx,TPV integradas a control volumétrico SAT/PEMEX
PRE (SOFTWARE CON IA),ISV / Analytics & Facturación,dalvarez@gaspre.mx,55.2728.4708,www.grupopre.ai,"FacturaPRE WhatsApp & clientes Rendichicas, Burgos, Combu-express"
INTERLOGIC,Quioscos & Cajeros de Autoatención,comercial@interlogic.com.mx,66.2215.7715,www.interlogicglobal.com,Socio estratégico directo: Fabricante de quioscos de autoatención
SEPROCESA,Manejo Seguro de Efectivo,gina.munoz@seprocesa.com.mx,449.329.5956,www.seprocesa.com,Gestión de efectivo y trazabilidad en cajas
SNE (Sistemas Neumáticos de Envíos),Manejo de Efectivo en Isla,ventas@sne.com.mx,55.5377.2170 / 55.1051.8091,www.sne.com.mx,Sistema aerocom AC-GAS de efectivo en islas de despacho
GILBARCO VEEDER-ROOT,Hardware & Dispensarios,marketing.la@gilbarco.com,Sitio Oficial,www.gilbarco.com/mx,Líder global en dispensarios e integración con TPV
PETROTECH,Hardware & Dispensarios,rarreola@petrotech.com.mx,333.634.9293,www.petrotech.com.mx,Distribuidor Platinum de ControlGAS y dispensarios Wayne/Gilbarco
PETROGAS,Equipamiento & Dispensarios,contacto@petrogas.com.mx,818.305.0800,www.petrogas.com.mx,Distribuidor Gilbarco con 17 sucursales
ATS MERIDIAN DE MÉXICO,Equipamiento & Dispensarios,aescobedo@atsmeridian.com.mx,55.5604.6434,www.atsmeridian.com.mx,Distribuidor de dispensarios Wayne y Franklin Fueling
