Estado,Siglas,Nombre,Direccion,Telefono,Email
Aguascalientes,Gasucen,Gasolineras Unidas del Centro A.C.,Av. Independencia #1331 int. 15 Col. El Plateado,(449) 153-01-33,
Baja California,AGM,Asociación de Gasolineros de Mexicali A.C.,"Av. Torreón y Gob. Esteban Cantú #399 Ex Ejido Coahuila C.P. 21360 Mexicali, BC",(686) 554-1172,
Baja California,AGE,Asociación de Gasolineros de Ensenada A.C.,"Blvd. Pinta #397 Fracc. Valle Dorado C.P. 22890 Ensenada, BC",(646) 173-5963,
Baja California,GEBC,"Grupo Energético de Baja California, A.C.","David Alfaro Siqueiros #2589 Zona Urbana Río Tijuana C.P. 22110 Tijuana, BC",(664) 386-0543,
Baja California Sur,ONEXPO BCS,ONEXPO Sudcalifornia A.C.,"Calzada Agustín Olachea #3215 Col. Pueblo Nuevo La Paz, BCS",(612) 128-9400,
Campeche,UGEC,Unión de Gasolineros de Campeche A.C.,"Av. Ruiz Cortines #112 Torre-B 3er.Piso Col. San Román C.P. 24040 Campeche, Cam.",(981) 127-3249 ext.149,
Chiapas,UDGCHAC,Union de Distribuidores de Gasolina de Chiapas A.C.,"2o. Ote Sur #53 Zona Centro C.P. 29140 Ocozucuautla de Espinosa, Chiapas",(961) 639-2979 / (961) 615-3095,
Chihuahua,OEPDCH,Organización de Expendedores de Petróleo de Chihuahua A.C.,"Av. Prolongación Teófilo Borunda No. 11800 Col. Ejido Labor de Terrazas C.P. 31415 Chihuahua, Chih.",(614) 441-6417,
Chihuahua,ONEXPO Juárez,ONEXPO de Ciudad Juárez A.C.,"Carr. Panamericana y Casas Grandes km. 13.5 Col. Lomas del Puente Alto C.P. 32695 Cd. Juárez, Chih.",(656) 633-1107,
Coahuila,ECOAGAS,"Empresarios Coahuilenses Gasolineros, A.C.","Abasolo Norte #2014 Zona Centro C.P. 25000 Saltillo, Coahuila",,ecoagas@gmail.com
Coahuila,ONEXPO Coahuila,"ONEXPO de Coahuila, A.C.","Diego Montemayor #178 Sur Col. Centro C.P. 66230 San Pedro Garza García, N.L.",(818) 338-3414,
Coahuila,UEPCLCYD,"Unión de Expendedores de Petróleos de la Comarca Lagunera, Coahuila y Durango A.C.","Diag. Reforma #3509 Oriente Col. Nuevo Torreón C.P. 27060 Torreón, Coahuila",(871) 717-0023,
Colima,UGEC Colima,Unión de Gasolineros del Estado de Colima A.C.,"Miguel Cervantes Saavedra 365-6 Hacienda Real, Colima C.P. 28018",(312) 330-5440,
CDMX,CEGA,Consejo Empresarial Gasolinero del Valle de México A.C.,"Río Tiber #91 Despacho 101 Col. Cuauhtémoc C.P. 06500 México, DF",(55) 5525-2178 / (55) 5525-2322,
